[2025-07-26 23:14:15] [INFO    ] discord.client: logging in using static token
[2025-07-26 23:14:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-07-26 23:14:15] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-07-26 23:14:15] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1394466748589146292', 'username': 'Project Souls Helper', 'avatar': '7aac388cf488f426feb87ea77a761757', 'discriminator': '2312', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': True, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-07-26 23:14:16] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-07-26 23:14:16] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-07-26 23:14:16] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1394466748589146292', 'name': 'Project Souls Helper', 'icon': '7aac388cf488f426feb87ea77a761757', 'description': 'Bot allows you to check leaderboards within my game', 'type': None, 'bot': {'id': '1394466748589146292', 'username': 'Project Souls Helper', 'avatar': '7aac388cf488f426feb87ea77a761757', 'discriminator': '2312', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '8d7ba9bce047b98614e15986da0f84639535c97a6d1875e0fda265792cb213f8', 'flags': 27820032, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '1289370944342589522', 'username': 'team1289370944342589522', 'avatar': None, 'discriminator': '0000', 'public_flags': 1024, 'flags': 1024, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 2532, 'monetization_state': 1, 'verification_eligibility_flags': 123806, 'monetization_eligibility_flags': 509670, 'team': {'id': '1289370944342589522', 'icon': '71a1dd3b711f9e1a85f606cd327a1727', 'name': 'ProjectSouls', 'owner_user_id': '323991993501876227', 'members': [{'user': {'id': '323991993501876227', 'username': 'nikoboi', 'avatar': '7dd4edebcadccda25d11e1684e18da2a', 'discriminator': '0', 'public_flags': 128, 'flags': 128, 'banner': None, 'accent_color': None, 'global_name': 'Niko', 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': {'identity_guild_id': '1369181065385869352', 'identity_enabled': True, 'tag': 'TETO', 'badge': '0437e66874944d9eafae8ed3b9b7418a'}, 'primary_guild': {'identity_guild_id': '1369181065385869352', 'identity_enabled': True, 'tag': 'TETO', 'badge': '0437e66874944d9eafae8ed3b9b7418a'}}, 'team_id': '1289370944342589522', 'membership_state': 2, 'role': 'admin', 'permissions': ['*']}]}, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-07-26 23:14:16] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-07-26 23:14:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-b-8prg",{"micros":0.0}]']}}
[2025-07-26 23:14:16] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-07-26 23:14:16] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
